commentaires;notes
A good option if you're wanting something a bit quirky.;7.0
Very good;8.0
Great location, contemporary fitout and all round lovely place to stay.;8.0
nice stay;8.0
Good;7.0
Superb;9.0
friendly staff, very simple check in,lovely hotel.;9.0
Very good;8.0
great spot, clean and comfy for easy Heathrow travel;9.0
Comfortable, classy room in a great location;7.0
Very good;8.0
Handy, at times affordable, tranquil and well located little hotel;7.0
Great location but some flaws;7.0
Good;7.0
Superb;9.0
Great spot, good nights sleep and well located;8.0
wonderful hotel for an easy relaxed stay;8.0
Gorgeous design, comfortable and great location;9.0
Friendly, minimalist, with health oriented extras;8.0
Very good;8.0
Lovely stay in great (green) neighborhood;8.0
It was an adequate stay but glad we had lots to be our doing and not in the hotel much;7.0
Very good;8.0
Superb;9.0
Cute, clean stay in a quaint, tiny room (ask for a quiet room!);7.0
Nice stay in central London;9.0
Comfortable and highly practical. I felt well rested staying here.;9.0
Not good for long staying light sleeper.;7.0
Perfect if we could have got into the bed from both sides;8.0
Good;7.0
Enjoyed our stay;7.0
Good;7.0
Would stay again but upgrade to bigger room.;8.0
Central location but quiet enough to relax.;9.0
Good;7.0
good value;8.0
Lovely hotel;9.0
Very much satisfying experience.;9.0
Will stay here again and again ??;9.0
Very good;8.0
Very good;8.0
Lovely little hotel in London;7.0
O.k.;7.0
Very good;8.0
Superb;9.0
Very comfortable but rather pricey.;9.0
lovely stay in very conveniently located hotel. would recommend for families. Room was a good size.;8.0
Great for a few days stay as long as you do not get the rooms in the Basement;9.0
Superb;9.0
Would recommend!;9.0
Lovely hotel, very small rooms;8.0
Very good;8.0
Good;7.0
Potential but fell short;7.0
excellent location and hotel.;9.0
A small boutique hotel in the heart of London;7.0
A peaceful oasis in an excellent location;9.0
Ideal for a short stay, but room on the small side.;7.0
Great for a short stay;7.0
Fab hotel.;8.0
great base for London trips.;8.0
Good value, nice hotel considering their room size limitations.;8.0
nice to come back again;9.0
Wonderful stay in a well designed hotel.;9.0
Great location, excellent and restful ambience.  Perfect for business trip.;9.0
Cosy chic in the heart of London;9.0
very tasteful design and comfortable. we will return;9.0
Thoroughly enjoyable!;8.0
Lovely london stay;9.0
Very good stay.;8.0
Great stay! Super option for being near to Paddington and Hyde Park!;7.0
comfortable;8.0
Beautiful concept, needs a little more work.;7.0
Very good;8.0
lovely place;9.0
Good;7.0
Very good;8.0
will be back lovely stay;9.0
a very sweet well designed and very well located hotel;8.0
Superb;9.0
exceeded expectations! loved all the amenities, they accommodated an early check in, and location only an easy 6 min wal;9.0
Superb;9.0
Very good;8.0
Beautiful and comfortable boutique hotel, some quirks but very worth the stay, staff are truly wonderful.;7.0
a very good option in that area!;7.0
Very good;8.0
a nice bit of zen in London;8.0
Comfortable, clean, friendly and well located for Paddington.;8.0
Very good;8.0
Superb;9.0
small but comfortable rooms;7.0
Superb;9.0
very friendly staff, modern rooms, peaceful hotel;8.0
Very good;8.0
Good;7.0
Very good;8.0
Would definitely stay again. Especially good value for single travellers.;9.0
Overall I enjoyed my stay, it was very cosy and the location was extremely convenient;9.0
really friendly, really comfortable. great place to stay.;9.0
excellent for a relaxing stay;9.0
Enjoyqble stay close to the station!;8.0
Great, modern hotel, in the centre of London.;9.0
Good;7.0
Cosy space in central london;7.0
We would recommend to others.;8.0
An ok hotel for work but there are other places of comparative quality for less money.;7.0
The best of the small hotels near Paddington;7.0
I would stay here again but not in the basement;7.0
Very good;8.0
well designed hotel in good location;8.0
A lovely boutique hotel in a great location.;9.0
Very good;8.0
except the noise, a very good stay;8.0
Very good;8.0
Wonderful. Felt welcomed and made like they really wanted our custom.;9.0
Very good;8.0
Great location and restaurant although on the small side;7.0
Good stay for a weekend break in London – but avoid the breakfast;8.0
Cozy and calm hotel with good vibes and value of money;8.0
Good for our family weekend to London, would stay again.;9.0
Good;7.0
Excellent short break. Will come again.;9.0
Excellent except for the noise in the morning;9.0
Superb;9.0
Very nice hotel, but the over emphasis on energy saving, made the hotel uncomfortable and very hot.;7.0
A very-well located London hotel that I would return to next time I am in the capital.;9.0
Very well equipped and friendly place to stay for a few days;9.0
Nice and cosy place to stay;8.0
Healthy lifestyle hotel;7.0
Superb;9.0
Good;7.0
convenient located and well designed hotel;7.0
beautiful new hotel - get a back room for the staff!;8.0
great for a getaway;7.0
Good location friendly staff very clean exveptional price;8.0
Calm and clean;8.0
Really enjoyed my stay and would definitely recommend -but please sort out fire alarm;8.0
A great place to stay for this area, I would stay again.;8.0
Very good;8.0
It was overall great!;9.0
Good;7.0
Very good;8.0
Good;7.0
Very good;8.0
clean, convenient, pleasant, would book again;7.0
Good;7.0
a perfect, well designed, tranquil base in an otherwise very busy and loud london.;9.0
Value for money, will stay there again, provided value is kept within reasonable limits;9.0
Very nice, I’d stay again;9.0
lovely and clean and great location;8.0
Best stay in London so far!;9.0
Ideal location 5 min walk from Paddington;8.0
Pleasant stay in a cool scandi-style boutique hotel with very comfy bed.;9.0
Good for an extended stay if you like fitness;9.0
Good value for money!!;8.0
Superb;9.0
Nice stay, lovely staff;8.0
It was comfortable and I felt safe which is an important issue as a woman travelling alone.;9.0
Nice hotel, tiny room.;7.0
pleasant and efficient;8.0
Very good;8.0
Superb;9.0
Very good;8.0
The hotel is beautiful and within reach of a lot of places!;8.0
Good;7.0
good;8.0
fantastic healthy restaurant on premises for lunch and breakfast, and easy walk to many places, including Hyde Park and;9.0
Brilliant facilities for guests;9.0
I like the place and overall was great. One thing I did not like was the room that I was in at night time we heard a wei;7.0
Absolutely loved for a business trip. and trvael with pets;9.0
Nice and clean hotel with friendly staff.;9.0
Very good;8.0
Very good;8.0
Bright and breezy while being v compact.;8.0
Charming small hotel, good value for money,;8.0
Superb;9.0
Great location, great hotel, lovely staff just a shame beds not bigger.;8.0
Good;7.0
Very good;8.0
Superb;9.0
we had a good time, hotel is clean and modern;7.0
Relaxing;9.0
Accommodating over a short stay;8.0
Aesthetically pleasing hotel but did not live up to expectations;7.0
Beautiful stay in a gorgeous hotel;9.0
Comfortable, clean - ideal for rest and working;8.0
Great stylish hotel, very comfortable and good value for money;9.0
Great Experience;9.0
great location and fresh modern rooms;8.0
Spotless, comfortable, friendly and well located hotel.  ?;9.0
Another good stay, mildly disappointing start.;8.0
Lovely little hotel;8.0
Lovely little hotel, close to Paddington Station!;8.0
Great hotel with good location, make sure you ask for one of the larger rooms.;8.0
A peaceful boutique retreat in a very convenient location.;9.0
Good value for the price but beware of the room sizes.;7.0
Very good;8.0
overall - a very nice overall impression, at a relatively low price point. Great service;9.0
Very good;8.0
Very good;8.0
Beautiful boutique hotel, lovely room, very comfy bed - location perfect to Paddington station;9.0
Okay stay;7.0
Pleasant, clean, nicely decorated and very comfortable. Friendly and helpful staff.;8.0
Relaxing calm place with friendly staff;8.0
Double glassing would help!!;7.0
Superb;9.0
Pleasant sleep, small room;8.0
very good.;7.0
Good value for a short stay;7.0
Comfortable and cute stay not too far from the madding crowds;9.0
Rooms were very clean and beds comfy but room styled like student dorms… basic for the price.;7.0
Good;7.0
A beautiful, clean and friendly hotel.;9.0
Good;7.0
Good;7.0
Relaxing, super comfortable bed, excellent location and good staff.;8.0
friendly, efficient & relaxed;9.0
Good;7.0
Very stylish hotel though with a very small room!;7.0
Beautifully decorated, Scandinavian style hotel with great facilities and perfect location.;9.0
Excellent value for money;8.0
A nice stay, but could have been more relaxing.;7.0
Comfortable hotel in good location.;7.0
Fresh clean rooms. Staff are very welcoming, but some not so helpful if there are any problems.;7.0
Contemporary, fresh and blissful respite!;8.0
Not for a light sleeper;7.5
A nice stay!;9.0
very clean, perfect location, excellent service and quite nice staffs;9.0
Last minute booking at stylish hotel;9.0
Great place for small to mix size people and who do not need laundry service.;7.0
london Ideal location for central;9.0
A lovely boutique hotel convenient to our purpose of stay.;8.0
Perfectly fine, just a bit noisy;7.0
Great hotel in great location with friendly staff. Breakfast offer needs a re-think.;8.0
a good value for money;8.0
Comfy for short stays;7.0
excellent hotel. will use again;8.0
amazing stay, I will be back to stay again soon!;9.0
Good;7.0
Superb;9.0
loved it and would book again;9.0
staff lovely and location fab but room too small;7.0
Great for a one night stay;9.0
Amazing place;9.0
I will be returning to this lovely, comfortable and relaxing place to stay.;9.0
Great location, relaxing hotel;8.0
cozy smart friendly hotel;9.0
Pleasant, I don’t think good value though;8.0
nice, cool, clean hotel, nearby to lovely places;9.0
Comfortable and good value;9.0
null;9.0
Great stay in the centre of London;9.0
convenient location, Friendly staff and overall comfortable atmosphere. Ideal for short stay.;8.0
Good;7.0
Very good;8.0
Superb;9.0
nice;7.0
Good;7.0
A home for myself ?and my furry friend!!;8.0
Superb;9.0
good place to stay for short visit;9.0
comfortable, clean and great value!;8.0
Superb;9.0
Would definitely stay again. What a lovely place (that just needs to sort communication problem :));8.0
A relaxing space. Would happily stay again;8.0
Very good;8.0
Very good;8.0
ok;7.0
Very pleasant indeed;9.0
Nice Hotel;8.0
I’ll definitely come again;9.0
Fantastic hotel, modern, zen, in great location.;8.0
Excellent stay! The staff are lovely and helpful and the hotel is gorgeous.;9.0
reception staff helpful;8.0
Very good;8.0
Very relaxed start to 2022, great reading material and chilled vibe;9.0
lovely boutique hotel;7.0
Good;7.0
Very good;8.0
Clean Hotel but rooms are only for 1 person;7.0
enjoyable and relaxing central stay.;8.0
Very good;8.0
Highly Recommended;9.0
We always have an amazing peaceful stay at inhabit.;9.0
Everything was perfect and I will be back to the hotel;8.0
Good;7.0
Very good;8.0
Superb;9.0
Superb;9.0
Pleasant will definitely stay again;8.0
Clean friendly comfortable stay;9.0
very pleasant stay.;9.0
basic but clean;7.0
stylish, comfortable and reasonable stay with nice added touches (herbal teas, meditation pod etc.);8.0
Superb;9.0
Beautiful hotel in a wonderful location;8.0
very nice modern and clean hotel. ideal location for all the major sights and near to tube and local facilities;8.0
Good stay.;7.0
Convenient zen refuge of tranquility, in the heart of London but a sanctuary into which to retreat.;9.0
Superb;9.0
Cozy, calm and convenient;9.0
Superb;9.0
Great stay, will book again!;9.0
Great location, very clean and quiet.;7.0
loved the hotel. not sure about Booking.com;9.0
Would definitely go again;7.0
Very good;8.0
Superb;9.0
very enjoyable as always;8.0
values driven oasis;9.0
Superb;9.0
Superb;9.0
Good;7.0
Superb;9.0
all in all a good place to stay;9.0
"Was in a great location; however, wouldnt stay again.";7.0
"Beautifully designed rooms, good location, unusual layout""";7.0
Good place to sleep, the beds were super comfortable.;7.0
Very good;8.0
great place overall, with small details to improve;9.0
Very good;8.0
Excellent staff, clean room. Had I known in advance our room did not have a window we would not have stayed.;7.0
